Metadata_plate_map_name,Metadata_EXPERIMENT_NAME,Metadata_DENSITY,Metadata_LINE_ID,Metadata_GENOTYPE,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Object_Count,Nuclei_ObjectSkeleton_NumberBranchEnds_CellImageSkel,Nuclei_ObjectSkeleton_NumberNonTrunkBranches_CellImageSkel,Nuclei_ObjectSkeleton_NumberTrunks_CellImageSkel,Nuclei_ObjectSkeleton_TotalObjectSkeletonLength_CellImageSkel
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,1,DELETION,BR00132672,A01,3,144,-0.95647,-0.8847799999999999,-0.7327199999999999,-0.81801
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,1,DELETION,BR00132672,A02,3,83,-0.64866,-0.46213000000000004,-0.02024,-0.61935
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,30,CONTROL,BR00132672,A03,3,128,1.037,0.84654,0.48818,1.2708
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,30,CONTROL,BR00132672,A04,3,49,-0.033716,-0.019583,0.38911999999999997,-0.29111
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,9,CONTROL,BR00132672,A05,3,171,-0.68095,-0.59527,-0.8442200000000001,-0.52909
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,9,CONTROL,BR00132672,A06,3,69,0.22528,0.27381,0.5317,-0.43013
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,26,CONTROL,BR00132672,A07,3,288,0.57158,0.45245,-1.4379,0.62822
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,26,CONTROL,BR00132672,A08,3,98,0.034723000000000004,0.05260499999999999,-1.0066,0.75335
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,4,DELETION,BR00132672,A09,3,159,0.18636,0.17019,0.69901,-0.008866299999999999
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,4,DELETION,BR00132672,A10,3,31,-1.0316,-1.091,-0.52493,-0.6984100000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,34,DELETION,BR00132672,A11,3,69,0.9776799999999999,0.6479199999999999,-0.048977,1.3685
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,34,DELETION,BR00132672,A12,3,46,-0.8766200000000001,-0.74933,-0.35928000000000004,-0.91566
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,15,DELETION,BR00132672,A13,3,274,0.0416,0.30501999999999996,-1.0284,0.46257
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,15,DELETION,BR00132672,A14,3,170,-0.80466,-0.62772,-0.13878,-0.532
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,36,DELETION,BR00132672,A15,3,205,-0.86798,-0.79155,-0.37406,-0.7791100000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,36,DELETION,BR00132672,A16,3,78,1.0641,1.1814,0.70578,0.52764
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,2,DELETION,BR00132672,A17,3,225,0.28986,0.43096,-1.1099,0.8841899999999999
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,2,DELETION,BR00132672,A18,3,86,1.5821,1.4102,3.3021,1.6757
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,16,DELETION,BR00132672,A19,3,419,-0.8908799999999999,-0.73474,-0.9883200000000001,-0.51803
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,16,DELETION,BR00132672,A20,3,235,0.52587,0.7496,-0.54013,0.68971
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,20,CONTROL,BR00132672,A21,3,204,3.6245,3.6551,0.49371000000000004,2.8939
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,20,CONTROL,BR00132672,A22,3,64,2.546,2.5804,1.7834,2.6079
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,12,CONTROL,BR00132672,A23,3,417,0.30746999999999997,0.70645,-0.47353999999999996,0.0018352
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,12,CONTROL,BR00132672,A24,3,59,-0.51136,-0.6160100000000001,0.32032,-0.37124
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,1,DELETION,BR00132672,B01,3,80,-1.5379,-1.3349,-1.6576,-1.4186
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,1,DELETION,BR00132672,B02,3,62,-0.38228,-0.48206000000000004,0.41095,-0.63503
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,30,CONTROL,BR00132672,B03,3,136,-0.53577,-0.52264,-0.16323,-0.30338000000000004
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,30,CONTROL,BR00132672,B04,3,69,-1.0851,-1.0594,-1.6107,-1.0434
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,9,CONTROL,BR00132672,B05,3,175,-0.88736,-0.81016,-0.7196,-0.85064
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,9,CONTROL,BR00132672,B06,3,65,-1.1684,-1.0311,0.06804299999999999,-1.2784
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,26,CONTROL,BR00132672,B07,3,210,0.5279699999999999,0.3124,0.15412,0.53955
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,26,CONTROL,BR00132672,B08,3,108,0.56504,0.95294,0.0061481,0.72832
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,4,DELETION,BR00132672,B09,3,36,-1.0829,-1.0453,-1.03,-1.0895
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,4,DELETION,BR00132672,B10,3,55,-1.7849,-1.5428,-2.9057,-1.7138
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,34,DELETION,BR00132672,B11,3,51,-0.46263000000000004,-0.36059,-0.24447,-0.7986300000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,34,DELETION,BR00132672,B12,3,66,-1.4256,-1.1458,-2.5164,-1.3853
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,15,DELETION,BR00132672,B13,3,230,-0.8368700000000001,-0.72396,-0.80388,-0.6753100000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,15,DELETION,BR00132672,B14,3,103,1.4788,1.2817,3.3203,0.62345
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,36,DELETION,BR00132672,B15,3,123,-0.21336999999999998,-0.14432999999999999,-0.3561,-0.5551699999999999
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,36,DELETION,BR00132672,B16,3,56,-0.51639,-0.41147,-1.2604,-0.75556
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,2,DELETION,BR00132672,B17,3,127,2.6138,3.1255,1.0513,2.6667
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,2,DELETION,BR00132672,B18,3,58,0.6183,0.3197,1.1693,0.14372000000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,16,DELETION,BR00132672,B19,3,170,0.59842,0.53409,0.19432,0.80316
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,16,DELETION,BR00132672,B20,3,148,1.2181,1.4848,0.29863,1.3282
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,20,CONTROL,BR00132672,B21,3,77,1.0075,0.8457399999999999,-0.15688,1.4298
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,20,CONTROL,BR00132672,B22,3,83,-0.75576,-0.70658,-0.036957,-0.8426
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,12,CONTROL,BR00132672,B23,3,71,-0.47998999999999997,-0.5927100000000001,0.63684,-0.79637
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,12,CONTROL,BR00132672,B24,3,57,-0.6976399999999999,-0.42566000000000004,-0.69072,-0.58272
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,17,CONTROL,BR00132672,C01,3,386,-0.62375,-0.3544,-0.9955,-0.5220600000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,17,CONTROL,BR00132672,C02,3,314,-0.00083871,0.090224,-0.64002,0.20373
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,39,CONTROL,BR00132672,C03,3,277,-0.71039,-0.49077,-1.9462,-0.079105
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,39,CONTROL,BR00132672,C04,3,155,0.7448600000000001,0.62365,0.39313000000000003,1.1449
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,37,DELETION,BR00132672,C05,3,148,1.2504,1.0111,-0.8215600000000001,1.3816
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,37,DELETION,BR00132672,C06,3,91,-0.32282,-0.27341,0.0073915000000000005,-0.29495
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,42,DELETION,BR00132672,C07,3,281,-0.080097,-0.049687,-1.135,0.25903000000000004
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,42,DELETION,BR00132672,C08,3,262,0.48704,0.38056999999999996,-0.35334,0.63823
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,7,CONTROL,BR00132672,C09,3,177,1.4580000000000002,1.2252,0.32032,1.2791
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,7,CONTROL,BR00132672,C10,3,89,-0.30789,-0.29733000000000004,1.0448,-0.5385800000000001
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,29,CONTROL,BR00132672,C11,3,305,-0.5949,-0.25834,-0.99536,-0.0095098
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,29,CONTROL,BR00132672,C12,3,116,-0.56672,-0.67988,1.4195,-0.75003
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,11,CONTROL,BR00132672,C13,3,137,1.4539,1.1682,0.27749,1.2748
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,11,CONTROL,BR00132672,C14,3,102,-0.5423899999999999,-0.52048,-0.78633,-0.5878899999999999
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,38,DELETION,BR00132672,C15,3,103,0.9714799999999999,0.88725,-0.0061481,1.0749
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,38,DELETION,BR00132672,C16,3,59,1.1092,0.9147,0.9993700000000001,0.52549
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,43,CONTROL,BR00132672,C17,3,269,0.67072,0.79274,-0.46691000000000005,0.78123
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,43,CONTROL,BR00132672,C18,3,58,7.6129999999999995,8.8324,4.8139,5.1133
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,18,DELETION,BR00132672,C19,3,200,0.049484,0.14181,-0.40376999999999996,0.22161
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,18,DELETION,BR00132672,C20,3,110,-0.0022645,-0.076034,1.013,-0.13926
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,6,CONTROL,BR00132672,C21,3,148,1.1105,0.9905200000000001,-0.8590000000000001,1.2827
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,6,CONTROL,BR00132672,C22,3,74,0.093852,-0.03815,0.79338,-0.23021
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,29,CONTROL,BR00132672,C23,3,320,0.1279,1.0188,-0.26727,0.081059
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,29,CONTROL,BR00132672,C24,3,148,-0.64346,-0.6412,1.0921,-0.8272299999999999
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,17,CONTROL,BR00132672,D01,3,241,0.033968,0.063479,-0.71863,0.092833
NCP_2022_03_03_METADATA,2022_03_03_NCP_NEURONS_2,3500,17,CONTROL,BR00132672,D02,3,76,-1.0272,-0.9162100000000001,-0.9695299999999999,-1.0824
